"A unique image representing the content of the object.";"A unique image representing the content of the object."
"The minimum image size is 200×200 pixels.";"The minimum image size is 200×200 pixels."
"Use images that are at least 1200×630 pixels for the best display on high resolution devices. At the minimum, you should use images that are 600×315 pixels to display with larger images.";"Use images that are at least 1200×630 pixels for the best display on high resolution devices. At the minimum, you should use images that are 600×315 pixels to display with larger images."
"The minimum image size is 200×200 pixels. If you try to use an image smaller than this you will see an error in the <a target=\"_blank\" href=\"https://developers.facebook.com/tools/debug\">URL Debugger</a>.";"The minimum image size is 200×200 pixels. If you try to use an image smaller than this you will see an error in the <a target=\"_blank\" href=\"https://developers.facebook.com/tools/debug\">URL Debugger</a>."
"For a thumbnail alongside the tweet, the image must be a minimum size of 120px by 120px. The image will be cropped to a square on all platforms.";"For a thumbnail alongside the tweet, the image must be a minimum size of 120px by 120px. The image will be cropped to a square on all platforms."
"For a full-width prominent image, should be at least 280px in width and at least 150px in height.";"For a full-width prominent image, should be at least 280px in width and at least 150px in height."
